mat_number;item_description_1;item_description_2;mat017_group
MAT0176700;siehe MAT01724487;Leistung, Gr.1, 4+3+PE Buchse;RC-K5
MAT0176701;Schüttware siehe MAT01724488;Crimp 2mm (HC), Leistung 0,75-2,5qmm;RC-K6
MAT0176702;Dichteinsatz;Leistung Gr. 1 Kabeleinlass 7-12mm;RC-K7
MAT0176703;Gehäuse, Kupplung;Leistung M23 Gr. 1;RC-K3
MAT0176704;Dichteinsatz;Leistung Gr. 1 Kabeleinlass 11-17mm;RC-K7
MAT0176705;Einsatz, Stift;Leistung Gr. 1, 5+PE Stifte;RC-K5
MAT0176706;Einsatz, Buchse;Leistung Gr. 1, 5+PE Buchse;RC-K5
MAT0176707;Einsatz, Stift;Leistung Gr. 1, 4+3+PE Stifte;RC-K5
MAT0176708;Schüttware Kontakt, Buchse;Crimp 1mm (HC), Leistung 0,14-1qmm;RC-K6
MAT0176709;Schüttware Kontakt, Stift;Crimp 1mm (HC), Leistung 0,14-1qmm;RC-K6
MAT0176710;Schüttware Kontakt, Stift;Crimp 2mm (HC), Leistung 0,5-2,5qmm;RC-K6
MAT0176711;Gehäuse, Stecker;Leistung Gr. 1,5 BU 2+3+PE;RC-K3
MAT0176712;Dichteinsatz;Leistung Gr. 1,5 Kabeleinlass 13-18mm;RC-K7
MAT0176713;Dichteinsatz;Leistung Gr. 1,5 Kabeleinlass 17-24mm;RC-K7
MAT0176714;Gehäuse, Stecker;Leistung Gr. 1,5 BU 4+3+PE;RC-K3
MAT0176715;Dichteinsatz;Leistung Gr. 1,5 Kabeleinlass 21-28mm;RC-K7
MAT0176716;Gehäuse, Stecker;Signal M23, EMV;RC-K3
MAT0176717;Gehäuse, Kupplung;Leistung Gr1,5 ST 2+3+PE;RC-K3
MAT0176718;Gehäuse, Kupplung;Signal M23, EMV;RC-K3
MAT0176719;Dichteinsatz;Signal, Kabeleinlass 7-12mm;RC-K7
MAT0176720;Gehäuse, Kupplung;Leistung Gr1,5 ST 4+3+PE;RC-K3
MAT0176721;Dichteinsatz;Signal, Kabeleinlass 10-14mm;RC-K7
MAT0176722;Einsatz, Stift;Signal, 9pol (8+1), rechtsdrehend, Stift;RC-K5
MAT0176723;Schüttware Kontakt, Stift;Crimp 2mm (HC), Leistung Gr1,5 0,5-4qmm;RC-K6
MAT0176724;Schüttware Kontakt, Buchse;Crimp 2mm (HC), Leistung Gr1,5 0,5-4qmm;RC-K6
MAT0176725;Schüttware Kontakt, Stift;Crimp 3,6mm (HC), Leistung Gr1,5 0,75-4q;RC-K6
MAT0176726;Schüttware Kontakt, Buchse;Crimp 3,6mm (HC), Leistung Gr1,5 0,75-4q;RC-K6
MAT0176727;Schüttware Kontakt, Stift;Crimp 3,6mm (HC), Leistung Gr1,5 6qmm;RC-K6
MAT0176728;Schüttware Kontakt, Buchse;Crimp 3,6mm (HC), Leistung Gr1,5 6qmm;RC-K6
MAT0176729;Schüttware Kontakt, Stift;Crimp 3,6mm (HC), Leistung Gr1,5 10qmm;RC-K6
MAT0176730;Schüttware Kontakt, Buchse;Crimp 3,6mm (HC), Leistung Gr1,5 10qmm;RC-K6
MAT0176731;Schüttware Kontakt, Stift;Crimp 3,6mm (HC), Leistung Gr1,5 16qmm;RC-K6
MAT0176732;Schüttware Kontakt, Buchse;Crimp 3,6mm (HC), Leistung Gr1,5 16qmm;RC-K6
MAT0176733;Steckerteil;GMVSTBR 2,5 HV/6-STF-7,62 BDO;RC-K10
MAT0176734;Kabeldose M12, Serie 713;5pol.,gewinkelt, 4-6mm;RC-K2
MAT0176735;Leitung m. M12 4pol bu;M12x1 gew 15Meter BU mit LED;RC-L1
MAT0176736;Schlauchleitung;2TE DN12x5000mm 12Lx12L DKO;RC-S1
MAT0176737;PU-Klemmplatte;Zg.Nr.: 23997.2;RC-A1
MAT0176738;Schildersatz;DMC60H Z-Achse Standard;RC-A3
MAT0176739;Gehäuse, Buchse;;RC-K10
MAT0176740;Blech für AE;Kette links;RC-B3
MAT0176741;Einsatz, Buchse;;RC-K10
MAT0176742;Kontakt, Buchse;;RC-K10
MAT0176743;Kabelverschraubung;;RC-K10
MAT0176744;Blech für AE;Kette rechts;RC-B3
MAT0176745;Schlauchleitung;1SN GH663-10x12000mm 1xGC2542-10,GA109;RC-S1
MAT0176746;Schlauchleitung;R134a GA494-12x12000mm 1x1210-12,GA15772;RC-S1
MAT0176747;Schlauchleitung;1SN GH663-12x12000mm 1xGC2542-12,GA109;RC-S1
MAT0176748;Schlauchleitung;FC310-16x12000mm 1xGA17089-16,GA10;RC-S1
MAT0176749;Schlauchleitung;FC350-8x12000mm 1x1210-8,11.002-10;RC-S1
MAT0176750;Schlauchleitung;R134a GA494-10x12000mm 1xG1210-10K;RC-S1
MAT0176751;Leitung;(25x1qmm)c , 14000mm , incl. Stecker;RC-L4
MAT0176752;Leitung;(7x1,5qmm)c , 14000mm , incl. Stecker;RC-L4
MAT0176753;Leitung;Rio Bus , 14000mm , incl. Stecker;RC-L4
MAT0176754;Leitung;DH+ , 14000mm , incl. Stecker;RC-L4
MAT0176755;Leitung;3x1,5qmm , 14000mm , incl. Stecker;RC-L4
MAT0176756;Leitung;(10x0,34qmm)c , 14000mm , incl. Stecker;RC-L4
MAT0176757;nicht mehr verfügbar, Nachfolger MAT0172;Bf.C 24VAC/DC mit Schutzbesch.;RC-K2
MAT0176758;Schlauchleitung;441-10x6000mm 1CA48-18-10 DKO 18L;RC-S1
MAT0176759;Stecker, RJ45;Kunststoff, blau,Y-CONKIT 21, RJ45, IP67;RC-K2
MAT0176760;Schlauchleitung;2040H-05V10x6000mm 2x1CAPX-10-05;RC-S1
MAT0176761;Schlauchleitung;2040H-03V10x6800mm 2x1CAPX-6-03;RC-S1
MAT0176762;Schildersatz;DMC60H Z-Achse Option;RC-A3
MAT0176763;Siehe MAT01710138;0,14qmm / 7mm;RC-K1
MAT0176764;Gehäuse, Tülle;HAN16B,seitl. Abgang M40,hohe Bauform;RC-K3
MAT0176765;Schüttware Kontakt, Stift;vergoldet, 0,5qmm;RC-K6
MAT0176766;Schüttware Kontakt, Buchse;vergoldet, 0,5qmm;RC-K6
MAT0176767;Einsatz, Stift;HA.3.STI.S-AU vergoldet, Schraubanschluß;RC-K5
MAT0176768;Einsatz, Buchse;HA.3.BU.S-AU vergoldet, Schraubanschluß;RC-K5
MAT0176769;Schüttware Kontakt, Stift;Crimp,vergoldet 0,14-0,37qmm;RC-K6
MAT0176770;Schnorr- Scheibe;8,4, verzinkt-gelb chromatiert;RC-A5
MAT0176771;Einsatz, Buchse;Signal, 9pol (8+1), linksdrehend, Buchse;RC-K5
MAT0176772;Einsatz, Stift;Signal, 12pol, rechtsdrehend, Stift;RC-K5
MAT0176773;Einsatz, Buchse;Signal, 12pol, linksdrehend, Buchse;RC-K5
MAT0176774;Einsatz, Stift;Signal, 12pol, linksdrehend, Stift;RC-K5
MAT0176775;Einsatz, Buchse;Signal, 12pol, rechtsdrehend, Buchse;RC-K5
MAT0176776;Einsatz, Stift;Signal, 16pol, rechtsdrehend, Stift;RC-K5
MAT0176777;Einsatz, Buchse;Signal, 16pol, linksdrehend, Buchse;RC-K5
MAT0176778;Einsatz, Stift;Signal, 17pol, rechtsdrehend, Stift;RC-K5
MAT0176779;Einsatz, Buchse;Signal, 17pol, linksdrehend, Buchse;RC-K5
MAT0176780;Einsatz, Stift;Signal, 17pol, linksdrehend, Stift;RC-K5
MAT0176781;Einsatz, Buchse;Signal, 17pol, rechtsdrehend, Buchse;RC-K5
MAT0176782;Schüttware Kontakt, Stift;Crimp 1mm, Signal, 0,14-1qmm;RC-K6
MAT0176783;Trommel;Typ III 2400x834x500 inkl. Gestell HT;RC-D5
MAT0176784;Gehäuse, Buchse;REK03SP.K. Schweißstromstecker;RC-K3
MAT0176785;Schüttware Kontakt, Buchse;Crimp 1mm, Signal, 0,34-1qmm;RC-K6
MAT0176786;Schüttware Kontakt, Stift;Crimp 2mm, Signal, 0,5-2,5qmm;RC-K6
MAT0176787;Schüttware Kontakt, Buchse;Crimp 2mm, Signal, 0,5-2,5qmm;RC-K6
MAT0176788;Auflagewinkel;198400-1711-01;RC-B1
MAT0176789;Halter;198400-0301-03;RC-B1
MAT0176790;Halter;198400-0301-04;RC-B1
MAT0176791;Halter;198400-1706-05;RC-B1
MAT0176792;Zwischenplatte;198400-1708-04;RC-B1
MAT0176793;Distanzplatte;198500-1707-02;RC-B1
MAT0176794;PU-Klemmplatte;Zg.Nr.: 24217.2;RC-A1
MAT0176795;Schildersatz;DMC60H Z-Achse Torque;RC-A3
MAT0176796;Schildersatz;DMC60H Z-Achse Torque EN;RC-A3
MAT0176797;PU-Klemmplatte;Zg.Nr.: 23810.3;RC-A1
MAT0176798;Schildersatz;für DMU80 Y-Achse, 46 Stck;RC-A3
MAT0176799;PU-Klemmplatte;Zg.Nr.: 23820.3a;RC-A1
MAT0176800;PU-Klemmplatte;Zg.Nr.:. 23815.3;RC-A1
MAT0176801;Schildersatz;DMU80 Z-Achse, 62 Stck;RC-A3
MAT0176802;Geflechtschlauch;PA, 17 bis 34mm;RC-K11
MAT0176803;Schlauchleitung;2SN DN32x28000mm DKOS/DKOS;RC-S1
MAT0176804;Schlauchleitung;Armoflex DN65x27800mm 2xKlemmschale 75x8;RC-S1
MAT0176805;Schlauchleitung;2SN DN50x28000mm 2xSAE Flansch;RC-S1
MAT0176806;Schlauchleitung;2SN DN25x28000mm DKOS/DKOS;RC-S1
MAT0176807;Schlauchleitung;Inducord  63x29250mm DOU110/DOU110;RC-S1
MAT0176809;PU-Klemmplatte;Zg.Nr.: 23821.3;RC-A1
MAT0176810;Schildersatz;DMU80 Z-A H-GETR, 58 Stck;RC-A3
MAT0176811;PU-Klemmplatte;Zg.Nr.: 23822.3;RC-A1
MAT0176812;PU-Klemmplatte;Zg.Nr.: 23823.3;RC-A1
MAT0176813;Schildersatz;DMU80 Z-A H-MOT/H-V, 58 Stck;RC-A3
MAT0176814;Klemmkasten Rittal;300x200x120;RC-A2
MAT0176815;Kabelschuh, Rohr, blank;M6, 16qmm;RC-K1
MAT0176816;Holzkiste;2000x1200x290, mit Deckel;RC-D5
MAT0176817;Schlauch Hydraulik;Ariaform 25x,5 (1);RC-S2
MAT0176818;Schlauch Hydraulik;Ariaform 19x4,5 (3/4);RC-S2
MAT0176822;Trommel;Typ II 2700x730x600 inkl. Gestell;RC-D5
MAT0176823;Trommel;Typ II 2600x780x600 inkl. Gestell;RC-D5
MAT0176824;Gerätesteckverbinder Vordewandmontage;inkl. Kontakteins. 2+3+PE, Leistung Gr.;RC-K2
MAT0176825;Gerätesteckverbinder Vordewandmontage;Leistung Gr. 1,  4 x Bohr. 3,2mm;RC-K2
MAT0176826;Gerätesteckverbinder Vordewandmontage;4xBohrung 3,2mm;RC-K2
MAT0176827;Trommel;Typ III 2400x846x500 inkl. Gestell;RC-D5
MAT0176828;Klemmkasten;Q30/30/120;RC-A2
MAT0176829;Klemme;WDU 2,5;RC-K11
MAT0176830;Klemme;WDU 6;RC-K11
MAT0176832;Stecker, Profibus;SACC-M12MSB-5CON-PG9-SH AU Sti;RC-K2
MAT0176833;siehe MAT01742684;SACC-M12FSB-5SCSH Buchse;RC-K2
MAT0176834;Klemme;WPE 2,5;RC-K11
MAT0176835;Klemme;WPE 6;RC-K11
MAT0176836;Schraube;M6x10-A4 ISO7380;RC-A5
MAT0176837;Schraube;M4x10-A4 ISO7380;RC-A5
MAT0176838;Trommel;Typ II 2300x800x1100 inkl. Gestell;RC-D5
MAT0176839;Gehäuse, Tülle;für Stifteinsatz RJ45, VS-08-T-RJ45/IP6;RC-K3
MAT0176840;Einsatz, Stift;VS-08-ST-RJ45, 8pol;RC-K5
MAT0176841;Absaugschlauch;Beistellung Kunde Roeder u. Piller;RC-S5
MAT0176842;Schlauch Sprühanlage Nr. 1;Beistellung Kunde Roeder u. Piller;RC-S5
MAT0176843;Schlauch Sprühanlage Nr. 2;Beistellung Kunde Roeder u. Piller;RC-S5
MAT0176844;Schlauch Sprühanlage Nr. 3;Beistellung Kunde Roeder u. Piller;RC-S5
MAT0176845;Schlauch Zentralschmieranlage NW4;Beistellung Kunde Roeder u. Piller;RC-S5
MAT0176846;Schlauch Zentralschmieranlage NW6;Beistellung Kunde Roeder u. Piller;RC-S5
MAT0176847;Schlauch Zentralschmieranlage NW6;Beistellung Kunde Roeder u. Piller;RC-S5
MAT0176848;Stecker MC23 socket;Beistellung Kunde Centro Ind. Grandes;RC-K10
MAT0176849;Stecker MC46 socket;Beistellung Kunde Centro Ind. Grandes;RC-K10
MAT0176850;Stecker MC23 pin;Beistellung Kunde Centro Ind. Grandes;RC-K10
MAT0176851;Gehäuse, Kupplung;24B, niedrige Bauform, M32;RC-K3
MAT0176852;Stecker, Flansch;Binder Serie 581, 2pol., Stift, Löt;RC-K2
MAT0176853;Kabeldose;Binder, Serie 581, 4pol., Buchse, Löt;RC-K2
MAT0176854;Stecker, Flansch;Binder Serie 680, M16, 4pol., Stift, Löt;RC-K2
MAT0176855;Schildersatz;für DMU100/125 Y-Achse, 55 Stck;RC-A3
MAT0176856;Steckklemme;Weidmüller STVS 4 SB;RC-K11
MAT0176857;Schildersatz;für DMU100/125 Z-Achse, 71 Stck;RC-A3
MAT0176858;Leitung beidseitig M12;SAC-5P-12MS/7,0-PUR/m12FS;RC-L1
MAT0176859;Leitung beidseitig M12;SAC-5P-12MS/5,0-PUR/m12FS;RC-L1
MAT0176860;Geberleitung;Heidenhain LC491F;RC-L1
MAT0176861;Geberleitung;Heidenhain LC491F;RC-L1
MAT0176862;Progressivverteiler chrom6frei incl. Mon;MSP-BSP-8-40S-5T-30T-5T-5T-5T-5S-10S chr;RC-A2
MAT0176863;Schildersatz;für DMU100/125 Z-A H-MOT/HV, 64 Stck;RC-A3
MAT0176864;Schildersatz;für DMU100/125 Z-A H GETR, 64 Stck;RC-A3
MAT0176865;Schlauchleitung;2040H-04V10x10750mm 2x11DPX-8-04;RC-S1
MAT0176866;Schlauchleitung;2040H-03V10x3700mm 2x11DPX-6-03;RC-S1
MAT0176867;Schlauch Pneumatik;LORTAN 16/KR;RC-S5
MAT0176868;Schlauch Pneumatik;LORTAN 13/KR;RC-S5
MAT0176869;siehe MAT01716601;Contact,8pol. Geschirmt, Schneid;RC-K2
MAT0176870;RJ Codier Set Variosub;Contact,je 10xws,bl,rt,gn,ge,vi,;RC-K5
MAT0176871;Rückschlagventil;RHD 15-L OMD CF 0,5B;RC-A2
MAT0176872;Verschlusskupplung;MD-006-0-WR 513-19-1;RC-A2
MAT0176873;Verschlussnippel;MD-006-2-WR 513-19-1;RC-A2
MAT0176874;Schottblech;680264;RC-B1
MAT0176875;Schottblech;680265;RC-B1
MAT0176876;Schottblech;683270 / Zg.24384.2;RC-B1
MAT0176877;Schottblech;683271 / Zg.24354.2;RC-B1
MAT0176878;Schottblech;675267;RC-B1
MAT0176879;Platte;680332;RC-B1
MAT0176880;Halter;675264;RC-B1
MAT0176881;Halter;680263 / Zg. 24353.0;RC-B1
MAT0176882;Halter;680261 / Zg. 24388.0;RC-B1
MAT0176883;Halter;680262 / Zg. 24367.0;RC-B1
MAT0176884;Führungsleiste;680224;RC-B1
MAT0176885;Winkel;680258;RC-B1
MAT0176886;Querträger;680237;RC-B1
MAT0176887;Querträger;680238 / Zg. 24350.0;RC-B1
MAT0176888;Querträger;680256;RC-B1
MAT0176889;Träger;676797;RC-B1
MAT0176890;Träger;680246;RC-B1
MAT0176891;Träger;680255 /  Zg. 24355.0;RC-B1
MAT0176892;Träger;680257;RC-B1
MAT0176893;Träger;680266 / Zg. 24352.1;RC-B1
MAT0176894;Träger;680267 / Zg. 24351.1;RC-B1
MAT0176895;Adapterplatte;Zg. 24357.4;RC-B1
MAT0176896;Leitung, Signal;Sinamics DriveCliq, 24V, 18,8m;RC-L1
MAT0176897;Leitung, Signal;Sinamics DriveCliq, 24V, 17,8m;RC-L1
MAT0176898;Leitung, Signal;Sinamics DriveCliq, 24V, 12,5m;RC-L1
MAT0176899;Schlauch;Für Seife Netal SL20;RC-S5
MAT0176900;Poliamid Rohr;9x12;RC-S3
MAT0176901;Poliamid Rohr;10x12;RC-S3
MAT0176902;Polyamid Rohr;6x 8;RC-S3
MAT0176903;Polyamid Rohr;4x 6-Polyamidrohr;RC-S3
MAT0176904;LF300-Schott-A-6;Schott 6mm;RC-A2
MAT0176905;LF300-Schott-A-8;Schott 8mm;RC-A2
MAT0176906;LF300-Schott-A-12;Schott 12mm;RC-A2
MAT0176907;Klemmkasten;K41 mit 4x WDU 16 1xM32 4xM16;RC-A2
MAT0176908;Schlauchleitung;15Lx15Lx6000x12x2TE-DKO;RC-S1
MAT0176909;Schlauchsatz;Schlauchsatz   Alfing;RC-S1
MAT0176910;Universal Winkel 90 Grad;einstellbar PG29/PG29;RC-K7
MAT0176911;Stecker,Stift-A-cod.;SACC-M12MS-5CON-PG9-M;RC-K2
MAT0176912;Stecker;SACC-M12FS-5CON-PG9-M;RC-K2
MAT0176913;Schlauchleitung;421-6x1900mm 1CA48-12-6/1CA48-12-6;RC-S1
MAT0176914;Schlauch Pneumatik;PUN8x1 Blau Bosch;RC-S3
MAT0176915;Schlauch Pneumatik;PUN10x1 Blau Bosch;RC-S3
MAT0176916;Schlauch Pneumatik;PUN12x1,5 Blau Bosch;RC-S3
MAT0176917;Trommel;Typ III 2200x500;RC-D5
MAT0176918;Interbusleitung violett;für Projekt DC Bremen;RC-L1
MAT0176919;Verschraubung, Schott-;WSV15LOMDCF;RC-A2
MAT0176920;Schüttware Kontakt, Buchse;Dynamic 0,5-1,25qmm;RC-K6
MAT0176921;Schlauchleitung;441-6x3100mm 1CA48-12-6/1CA48-12-6;RC-S1
MAT0176922;Stecker, Stift;Amphenol, 4pol., Stiftkontakte;RC-K2
MAT0176923;Stecker, Buchse;Amphenol, 4pol., Buchsenkontakte;RC-K2
MAT0176924;Stecker, Stift;Burndy, 8pol., Stift, UTG6128PN;RC-K2
MAT0176925;Gehäuse;Burndy, für UTG6128PHT;RC-K3
MAT0176927;Stecker;Phoenix Contact IBS CC-PSF/L;RC-K2
MAT0176928;Trommel;Typ II 1600x750x500 inkl. Gestell;RC-D5
MAT0176929;Leitung;Anschlusskabel für Murr Verteiler M12, 1;RC-L1
MAT0176930;Schlauchleitung;2SN DN10x7980mm DKOL12/DKOL12;RC-S1
MAT0176931;Einsatz, Buchse;VS-08-BU-RJ-45/BU 8pol CAT5;RC-K5
MAT0176932;Kupplung für RJ45/IP67;VS-08-KU-IP67;RC-K4
MAT0176933;Leitung;Leistung Fanuc 7x1qmm gesch. Desina;RC-L1
MAT0176934;Steckverbindung;gerade QS-8;RC-A2
MAT0176935;Steckhülse;reduzierend 8-6 QS-8H-6;RC-A2
MAT0176936;siehe MAT0174142;QST-10;RC-A2
MAT0176937;T-Steckverbindung;QST-10-8 reduzierend 10-8;RC-A2
MAT0176938;Schlauchleitung;2SN DN10x2070mm DKOL12/DKOL12;RC-S1
MAT0176939;Zugentlastung;für ITT Größe 14S;RC-K7
MAT0176940;Stecker;MSTB 2,5/3-STF-5,08 Phoenix;RC-K2
MAT0176941;Trommel;Typ II 1700x300x400 inkl. Gestell;RC-D5
MAT0176942;Gehäuse, Anbau;HAN 6B;RC-K3
MAT0176943;Gehäuse, Anbau;HAN 6B;RC-K3
MAT0176944;Gehäuse, Anbau;HAN 24B;RC-K3
MAT0176945;Gehäuse, Tülle;HAN 6B M 32 gerader. K.-Ausg.;RC-K3
MAT0176946;Gehäuse, Tülle;HAN 16B M 32 gerader. K.-Ausg.;RC-K3
MAT0176947;Gehäuse, Tülle;HAN 16B M 40 gerader. K.-Ausg., Metall;RC-K3
MAT0176948;Gehäuse, Stecker;9pol. AMP;RC-K3
MAT0176949;Schüttware Kontakt, Stift;0,2-0,56qmm;RC-K6
MAT0176950;Gehäuse, Buchse;9pol. AMP;RC-K3
MAT0176951;Schüttware Kontakt, Buchse;0,5-0,56qmm;RC-K6
MAT0176952;Gehäuse, Stecker;12pol. AMP;RC-K3
MAT0176953;Gehäuse, Buchse;12pol. AMP;RC-K3
MAT0176954;Ader Bezeichnungsträger;TM1/8 HF/HB;RC-K8
MAT0176955;Geflechtschlauch;19mm;RC-S4
MAT0176956;Geflechtschlauch;8mm;RC-K11
MAT0176957;Spiralschlauch;.;RC-S5
MAT0176958;Schlauchleitung;2SN DN10x2620mm DKOL12/DKOL12;RC-S1
MAT0176959;Gehäuse;CT-TG2-G, 2 Bolzen, gerade, M32;RC-K11
MAT0176960;Schutzdeckel;CT-SD/AG2, für Gehäuse MAT0176960;RC-K11
MAT0176961;Schüttware Kontakt, Buchse LWL;CT-B/LWL;RC-K9
MAT0176962;Schüttware Kontakt, Buchse;CT-BP1,5/1,5 AU;RC-K6
MAT0176963;Multi Contact;CT-BP1HL/0,25-0,75 AU;RC-K11
MAT0176964;Modulrahmen, Buchse;CT-BEG-B;RC-K11
MAT0176965;Schüttware Kontakt, Stift LWL;CT-S/LWL;RC-K9
MAT0176966;Schüttware Kontakt, Stift;CT-SP1,5/1,5 AU;RC-K6
MAT0176967;Schüttware Kontakt, Stift;CT-SP1/0,25-0,75K AU;RC-K6
MAT0176968;Modulrahmen, Stift;CT-BEG-S;RC-K11
MAT0176969;Kontaktträger;CT-E-3LWL/B, 3pol. LWL;RC-K11
MAT0176970;Kontaktträger;CT-E-3LWL/S, 3pol. LWL;RC-K11
MAT0176971;Kontaktträger;CT-E1,5-5, 5pol;RC-K11
MAT0176972;Kontaktträger;CT-E1-6 6pol.;RC-K11
MAT0176973;Distanzplatte;CT-DIP1;RC-K11
MAT0176974;Blindstopfen;MVS1, für 1,5mm Kontakte;RC-K11
MAT0176975;Blindstopfen;CT-BS1, für 1mm Kontakte;RC-K11
MAT0176976;Befestigungsschiene für Modulrahmen;CT-BS;RC-K11
MAT0176977;Linsenblechschaube für Modulrahmen;LI-BL-SHR ST2,2x9,2 DIN7981 BN33;RC-K11
MAT0176978;Kombischraube für Modulrahmen;LI-KM-SHR M3x10 DIN7985Z4 BN 1720;RC-K11
MAT0176979;Gehäuse;CT-TG2;RC-K11
MAT0176980;Verschraubung;gerade, Einschraubver.;RC-A2
MAT0176981;Stecker,Signal;TwintecB15+4polinkl.P-IsoliereundK;RC-K2
MAT0176982;SignalkupplungTwintecB;15+4polinkl.E-IsoliereinsatzundKlem;RC-K4
MAT0176984;Gehäuse, Tülle;HAN 24B M 32 gerader. K.-Ausg.;RC-K3
MAT0176985;siehe MAT01711194;HAN 24B M 40 gerader. K.-Ausg.;RC-K11
MAT0176986;Gehäuse, Sockel;HAN6B-Sockelgeh. 1 Bügel 2xM20;RC-K3
MAT0176987;Gehäuse, Sockel;HAN10B-Sockelgeh. 2 Bügel 1xM25;RC-K3
MAT0176988;Gehäuse, Sockel;HAN10B-Sockelgeh. 2 Bügel 2xM20;RC-K3
MAT0176989;Gehäuse, Sockel;HAN16B-Sockelgeh. 2 Bügel 2xM25;RC-K3
MAT0176990;Gehäuse, Sockel;HAN24B-Sockelgeh. 2 Bügel 2xM25;RC-K3
MAT0176991;Gehäuse, Kupplung;HAN10B-Kupplungsgeh. 2 Bügel 1xM20;RC-K3
MAT0176992;Siehe MAT0175820;Siehe MAT0175820;RC-K3
MAT0176993;Gehäuse, Kupplung;HAN10B-Kupplungsgeh. 2 Bügel 1xM25;RC-K3
MAT0176994;Siehe MAT0176993;Siehe MAT0176993;RC-K3
MAT0176995;Gehäuse, Kupplung;HAN16B-Kupplungsgeh. 2 Bügel 1xM25;RC-K3
MAT0176996;Gehäuse, Kupplung;HAN16B-Kupplungsgeh. 2 Bügel 1xM32;RC-K3
MAT0176997;Gehäuse, Kupplung;HAN24B-Kupplungsgeh. 2 Bügel 1xM32;RC-K3
MAT0176998;Gehäuse, Kupplung;HAN24B-Kupplungsgeh. 2 Bügel 1xM32;RC-K3
MAT0176999;siehe MAT01719443+MAT01719444+MAT0171944;Gr.1Leistung9pol.verz.vern.,Vibra.;RC-K3
MAT0177000;Schlauch Pneumatik;PL-13-Bl;RC-S3
MAT0177001;Tisch;198500-1707-02  RAL9018;RC-B1
MAT0177002;Auflagewinkel;198400-1711-01  RAL9018;RC-B1
MAT0177003;Halter;198400-0301-03  RAL9018;RC-B1
MAT0177004;Halter;198400-0301-04  RAL9018;RC-B1
MAT0177005;Halter;198400-1706-05  RAL9018;RC-B1
MAT0177006;Zwischenplatte;198400-1708-04;RC-B1
MAT0177007;Schraube, Zylinder Innensechskant;ZYL-SHR I6KT*M5*30*12,9*912;RC-A5
MAT0177008;Schraube, Zylinder Innensechskant;ZYL-SHR I6KT*M5*35*12,9*912;RC-A5
MAT0177009;Mutter;Mutter (selbstsichernd) DIN 985 M5;RC-A5
MAT0177010;Senkkopfschraube;M8 senk M8*16;RC-A5
MAT0177011;Leitung M12x1 gew BU mit LED;SAC-4T-M12F-3L/PUR/30m;RC-L1
MAT0177012;M12 bu 5pol A Cod  SH;SACC-M12FSB-5CON-PG7-SH;RC-K2
MAT0177013;M12 sti 5pol A Cod SH;SACC-M12MSB-5CON-PG7-SH;RC-K2
MAT0177014;Stecker;SACC-M12MS-5CON-PG7-M;RC-K2
MAT0177015;Halter Z-Achse;AD.0089.4396 RAL9006;RC-B2
MAT0177016;Halter X-Achse;AD.0089.4437 RAL9006;RC-B2
MAT0177017;EO-Verschraubung;RED10/06LOMD;RC-K7
MAT0177018;Verschraubung, Schott-;Hydraulik, gerade;RC-K7
MAT0177019;Verschraubung, Schott-;Hydraulik, gewinkelt;RC-K7
MAT0177020;Verschraubung;Hydraulik, Winkelverschraubung;RC-K7
MAT0177021;Isolierschlauch grüngelb;.;RC-S5
MAT0177022;Gehäuse,Kupplung;Baugröße 3A mit 1 Bügel gerade., 1xM20;RC-K3
MAT0177023;Schlauch Gewebe;PE 20x16x2;RC-S4
MAT0177024;Stecker;G 20 W 3 F schwarz, für Berger-Lahr Moto;RC-K2
MAT0177025;Litze;H05V-K 0,5 sw;RC-L3
MAT0177026;Litze;H05V-K 0,5 rt;RC-L3
MAT0177027;ODU Panel Connector male;Gerätedose mit Stift;RC-K2
MAT0177028;ODU Panel Connector female;Gerätedose mit Buchse;RC-K2
MAT0177029;Stecker,Buchse;Gr.18polkomplett,SonderBF;RC-K2
MAT0177030;Stecker,Buchse;Gr.16polkomplett,SonderBF;RC-K2
MAT0177031;Signalsteck.12polre.BU;komplettm.6Kontakten,SonderBFInterc;RC-K2
MAT0177032;Signalsteck.12polre.BU;komplettm.8Kontakten,SonderBFInterc;RC-K2
MAT0177033;Signalsteck.17polli.BU;komplett,SonderBFIntercontec;RC-K2
MAT0177034;Schlauchleitung;301SN-4x1030mm 1CA48-8-4/1CF48-8-4;RC-S1
MAT0177035;Schlauchleitung;301SN-4x1000mm 1CA48-8-4/1CA48-8-4;RC-S1
MAT0177036;Schlauch Pneumatik;Raumfilam mit Synthetikgarn NW13;RC-S3
MAT0177037;Schlauch Pneumatik;PVC-Schlauch transp. Textileinl NW13;RC-S3
MAT0177038;Einsatz, Buchse;HAN 64D (64+PE), Crimp;RC-K5
MAT0177039;Gehäuse, Tülle;FÜR 1BÜGEL-PG13-KABELAUSG.GERADE- GRÖSSE;RC-K3
MAT0177040;Gehäuse, Tülle;FÜR 1BÜGEL-PG16-KABELAUSG.GERADE- GRÖSSE;RC-K3
MAT0177041;ITT Cannon 20-29 gewinkelt;17polig mit Kabelklemme;RC-K2
MAT0177042;Stecker;Hirschmann 933101100;RC-K2
MAT0177043;Steckverbinder;EWS0021;RC-K2
MAT0177044;Schüttware Kontakt, Buchse;Hirschmann RBC 162 0,14-0,5;RC-K6
MAT0177045;Stecker;Hirschmann;RC-K2
